iter	RMSE
151	5.063412748
152	5.05962405
153	5.056120139
154	5.05212313
155	5.048088352
156	5.043795234
157	5.039659614
158	5.0373702
159	5.034059676
160	5.032088701
161	5.029415784
162	5.025443323
163	5.023190032
164	5.016395259
165	5.011062764
166	5.005994317
167	5.002027375
168	4.998826649
169	4.995530415
170	4.989649273
171	4.984232767
172	4.979166582
173	4.973791379
174	4.969371181
175	4.962815546
176	4.95758485
177	4.955279645
178	4.950137619
179	4.943058718
180	4.940775191
181	4.934283282
182	4.931122973
183	4.924615478
184	4.921523247
185	4.918813991
186	4.915109394
187	4.910519167
188	4.908444634
189	4.905338636
190	4.902060634
191	4.899610942
192	4.894078134
193	4.88974876
194	4.884473568
195	4.882458536
196	4.878602281
197	4.876608796
198	4.874366136
199	4.871719587
200	4.865708225
201	4.860244738
202	4.856917064
203	4.854171126
204	4.850111341
205	4.845113364
206	4.843512774
207	4.840624789
208	4.838345113
209	4.835140395
210	4.82998293
211	4.82698435
212	4.825383031
213	4.821217116
214	4.815912837
215	4.813396971
216	4.807286082
217	4.802794426
218	4.799970786
219	4.794859689
220	4.791913515
221	4.790053666
222	4.787164276
223	4.784190057
224	4.777952324
225	4.775191002
226	4.773121161
227	4.771332022
228	4.76749817
229	4.766281432
230	4.762821888
231	4.759570024
232	4.758147051
233	4.756235687
234	4.750570098
235	4.74893012
236	4.746800998
237	4.742814591
238	4.741260684
239	4.736549037
240	4.730449299
241	4.728244196
242	4.725007247
243	4.718322009
244	4.715700697
245	4.710842439
246	4.709366368
247	4.707720361
248	4.70313512
249	4.699701944
250	4.697680275
251	4.693856837
252	4.690451241
253	4.688695024
254	4.683752071
255	4.679753571
256	4.676187003
257	4.674380617
258	4.671247787
259	4.670021395
260	4.666274916
261	4.663824083
262	4.661772009
263	4.65979375
264	4.656996331
265	4.655483654
266	4.651358537
267	4.649760957
268	4.645839456
269	4.644356364
270	4.636943199
271	4.633945867
272	4.629734483
273	4.622788661
274	4.621686064
275	4.620397853
276	4.616163423
277	4.611879141
278	4.609362043
279	4.602469174
280	4.596992705
281	4.593491062
282	4.587606606
283	4.582411059
284	4.579250534
285	4.575593792
286	4.57455781
287	4.568036271
288	4.56503547
289	4.55856431
290	4.557313184
291	4.556217204
292	4.549392734
293	4.546624151
294	4.543592529
295	4.537512146
296	4.536295829
297	4.533233118
298	4.529505084
299	4.525075265
300	4.520562394
301	4.519184342
302	4.516828337
303	4.514835953
304	4.511771401
305	4.504879015
306	4.502428142
307	4.499536426
308	4.492949541
309	4.489232107
310	4.483706162
311	4.48095521
312	4.477851974
313	4.472551433
314	4.471485199
315	4.468184067
316	4.464410579
317	4.460872213
318	4.457335591
319	4.452876822
320	4.449083034
321	4.445083955
322	4.443688507
323	4.436124595
324	4.433821372
325	4.43077233
326	4.42436507
327	4.421985974
328	4.42097924
329	4.418471559
330	4.414978316
331	4.410166668
332	4.406024878
333	4.403109932
334	4.40135971
335	4.399995084
336	4.397775992
337	4.395216997
338	4.393864715
339	4.391153279
340	4.387054721
341	4.381908747
342	4.380066542
343	4.375914373
344	4.372779908
345	4.371864482
346	4.371058899
347	4.366484478
348	4.36269784
349	4.361571843
350	4.355989181
351	4.354861934
352	4.350703718
353	4.344965733
354	4.340398584
355	4.339545261
356	4.334712638
357	4.329292893
358	4.326197744
359	4.322193522
360	4.319810018
361	4.316318166
362	4.312904902
363	4.310348588
364	4.3056493
365	4.302106452
366	4.300168094
367	4.299378262
368	4.29456052
369	4.290388741
370	4.289177587
371	4.285725243
372	4.281809318
373	4.280309503
374	4.276430797
375	4.272188805
376	4.267567484
377	4.262590997
378	4.258026863
379	4.253636668
380	4.250478522
381	4.248343398
382	4.24507871
383	4.243397843
384	4.239589444
385	4.235899758
386	4.233459759
387	4.230769092
388	4.22985106
389	4.225969793
390	4.221451763
391	4.218316793
392	4.217275133
393	4.216303245
394	4.215005752
395	4.212234213
396	4.207224686
397	4.202446024
398	4.197961437
399	4.196906489
400	4.195354865
401	4.194309385
402	4.190311505
403	4.185739457
404	4.18295864
405	4.18066761
406	4.179833436
407	4.177423577
408	4.173296234
409	4.171961469
410	4.170283299
411	4.164317564
412	4.161073766
413	4.160256172
414	4.155923843
415	4.152784818
416	4.150679835
417	4.149701302
418	4.149087734
419	4.146532637
420	4.144185148
421	4.139339792
422	4.135942332
423	4.131623049
424	4.130057707
425	4.129152797
426	4.128547114
427	4.126746332
428	4.123593405
429	4.121129037
430	4.118027672
431	4.114727951
432	4.114092042
433	4.108707291
434	4.108141603
435	4.107549251
436	4.105889103
437	4.102470253
438	4.101008933
439	4.096336938
440	4.092635509
441	4.090817776
442	4.087929398
443	4.084074869
444	4.081577022
445	4.080706247
446	4.078057262
447	4.075562315
448	4.072880719
449	4.072341948
450	4.070419275
451	4.069918781
452	4.065649781
453	4.063257777
454	4.059193243
455	4.058406458
456	4.053978075
457	4.051060246
458	4.04718752
459	4.046338257
460	4.046002271
461	4.044856022
462	4.043848704
463	4.042464156
464	4.040562847
465	4.037620587
466	4.036130433
467	4.03327159
468	4.03151838
469	4.028076957
470	4.027086511
471	4.026022246
472	4.023825819
473	4.019337945
474	4.015980305
475	4.012682965
476	4.009816746
477	4.009255434
478	4.007753126
479	4.002329978
480	3.995897179
481	3.993934846
482	3.991485637
483	3.9893765
484	3.9876196
485	3.985407446
486	3.983314053
487	3.982060843
488	3.978418534
489	3.978032614
490	3.977323217
491	3.974853847
492	3.971822209
493	3.971057123
494	3.970452297
495	3.966818232
496	3.962399867
497	3.959835162
498	3.956385999
499	3.955135853
500	3.951357986
501	3.950158813
502	3.946949447
503	3.943564242
504	3.942723707
505	3.93933107
506	3.936046146
507	3.934465827
508	3.930354202
509	3.927516437
510	3.925509757
511	3.925147793
512	3.924100677
513	3.919584257
514	3.916631146
515	3.915939868
516	3.913806211
517	3.913216294
518	3.911529107
519	3.906435083
520	3.903065406
521	3.902062258
522	3.900007725
523	3.898062686
524	3.894067565
525	3.890816341
526	3.889706367
527	3.888103443
528	3.883517888
529	3.883283
530	3.880480556
531	3.878130597
532	3.875345052
533	3.87404943
534	3.870544812
535	3.870246466
536	3.86990502
537	3.868239629
538	3.863271446
539	3.860267612
540	3.858349262
541	3.854642423
542	3.851292393
543	3.85072996
544	3.848218404
545	3.8458427
546	3.845167341
547	3.84425558
548	3.840770812
549	3.840263833
550	3.837765837
551	3.837350435
552	3.837025388
553	3.833648264
554	3.830560037
555	3.829484541
556	3.826325734
557	3.824218127
558	3.82035653
559	3.818975032
560	3.816262147
561	3.812465542
562	3.810290951
563	3.809069372
564	3.806578426
565	3.800886893
566	3.799528
567	3.796881231
568	3.793662696
569	3.792409602
570	3.789263616
571	3.788118172
572	3.785572919
573	3.781332345
574	3.779665899
575	3.777264723
576	3.775072367
577	3.773801276
578	3.771775627
579	3.768192704
580	3.767819227
581	3.767066098
582	3.764524464
583	3.763254554
584	3.762534679
585	3.759270721
586	3.756148169
587	3.754708912
588	3.754390495
589	3.752206894
590	3.750294939
591	3.746754284
592	3.744584034
593	3.741118558
594	3.737668787
595	3.735793293
596	3.732030865
597	3.730797947
598	3.729884516
599	3.726668479
600	3.726077251
601	3.723720939
602	3.723587537
603	3.722015136
604	3.720065187
605	3.716126287
606	3.715295544
607	3.711722146
608	3.707849397
609	3.707097289
610	3.703885417
611	3.702580776
612	3.699472239
613	3.696116238
614	3.694911123
615	3.692594463
616	3.691250156
617	3.689213267
618	3.685881615
619	3.683099029
620	3.681184311
621	3.678582052
622	3.675614683
623	3.674317069
624	3.67281914
625	3.670918872
626	3.669283091
627	3.666296396
628	3.664867937
629	3.66135234
630	3.659088446
631	3.657450052
632	3.657080673
633	3.653796473
634	3.652079422
635	3.647669546
636	3.643522804
637	3.64223696
638	3.640590312
639	3.636591523
640	3.634589982
641	3.633672622
642	3.629963778
643	3.628043732
644	3.625558635
645	3.624524192
646	3.621175661
647	3.620813915
648	3.616700063
649	3.612319564
650	3.609480712
651	3.606822698
652	3.604019729
653	3.600414763
654	3.600057105
655	3.599812402
656	3.597763948
657	3.596749912
658	3.59485381
659	3.59420611
660	3.591439088
661	3.590079787
662	3.588883609
663	3.586231806
664	3.583962366
665	3.580359704
666	3.579413322
667	3.577376797
668	3.576650139
669	3.574517618
670	3.571351944
671	3.569234632
672	3.567047401
673	3.564441027
674	3.563004959
675	3.560226517
676	3.559700263
677	3.559510616
678	3.558276955
679	3.554691018
680	3.553309709
681	3.550985638
682	3.550163748
683	3.547184667
684	3.545112978
685	3.543578569
686	3.540435379
687	3.538303391
688	3.536629743
689	3.532503015
690	3.529045308
691	3.526763883
692	3.526550464
693	3.523296258
694	3.520544484
695	3.520420446
696	3.518010224
697	3.515095525
698	3.512425708
699	3.510936796
700	3.509517644
701	3.507636101
702	3.507325171
703	3.504226603
704	3.501395162
705	3.500141363
706	3.497367771
707	3.497197266
708	3.495555188
709	3.495046911
710	3.493637388
711	3.490939215
712	3.490272928
713	3.489047059
714	3.486826874
715	3.484681769
716	3.483089247
717	3.481521575
718	3.479835622
719	3.476432238
720	3.476040277
721	3.473461814
722	3.470650073
723	3.468805526
724	3.467470959
725	3.465947897
726	3.464529301
727	3.463296719
728	3.462745137
729	3.460607759
730	3.459848058
731	3.458179105
732	3.455245617
733	3.45372656
734	3.452844838
735	3.451163851
736	3.449550316
737	3.447611259
738	3.445479756
739	3.442907883
740	3.441028712
741	3.439292255
742	3.435376962
743	3.431892528
744	3.430499211
745	3.427870824
746	3.425719126
747	3.423623847
748	3.422190024
749	3.421154338
750	3.420827591
751	3.417646869
752	3.414168219
753	3.411133715
754	3.409080438
755	3.407238737
756	3.405279202
757	3.403449251
758	3.401617311
759	3.400064168
760	3.398775633
761	3.397790494
762	3.39469829
763	3.393009942
764	3.389944862
765	3.38834238
766	3.385576102
767	3.382395073
768	3.380821545
769	3.378967881
770	3.375978155
771	3.37318677
772	3.371605738
773	3.369304988
774	3.368409954
775	3.366010432
776	3.364459581
777	3.362774329
778	3.360746185
779	3.358261649
780	3.356699698
781	3.354522572
782	3.352688832
783	3.351867319
784	3.347795712
785	3.346896738
786	3.344988422
787	3.340292103
788	3.338034153
789	3.336520393
790	3.335224888
791	3.333628701
792	3.330862005
793	3.329941654
794	3.328449601
795	3.327042972
796	3.326745568
797	3.323840366
798	3.320219314
799	3.31871085
800	3.31722739
801	3.316896415
802	3.31454795
803	3.31383334
804	3.31335684
805	3.310081284
806	3.30680525
807	3.302837099
808	3.300630202
809	3.299877273
810	3.29745803
811	3.294507382
812	3.292636321
813	3.290904358
814	3.289534139
815	3.288725366
816	3.28615977
817	3.284025604
818	3.282280376
819	3.280169044
820	3.27750641
821	3.274786026
822	3.273280648
823	3.271487636
824	3.268739151
825	3.26801283
826	3.264880313
827	3.263737449
828	3.263095192
829	3.261772791
830	3.259720024
831	3.256765649
832	3.255930619
833	3.253825092
834	3.251828171
835	3.250602611
836	3.24874408
837	3.247878563
838	3.245497397
839	3.243092255
840	3.239971319
841	3.237512669
842	3.236300043
843	3.235881233
844	3.234749003
845	3.232355568
846	3.23073342
847	3.228171633
848	3.225824833
849	3.224572767
850	3.221754367
851	3.219028189
852	3.217260633
853	3.215665646
854	3.214789126
855	3.212748789
856	3.211955467
857	3.209807652
858	3.207624858
859	3.205989502
860	3.205955533
861	3.204361709
862	3.200622206
863	3.198893408
864	3.196315833
865	3.19442025
866	3.193024679
867	3.19101025
868	3.188737025
869	3.187515112
870	3.185795857
871	3.184388171
872	3.182472336
873	3.180544433
874	3.180284536
875	3.179413202
876	3.17788794
877	3.176129805
878	3.17497869
879	3.173645103
880	3.171052532
881	3.169754738
882	3.168962003
883	3.166419467
884	3.16376712
885	3.161309999
886	3.160612133
887	3.158918561
888	3.158760431
889	3.157474264
890	3.156901414
891	3.154178039
892	3.153635359
893	3.152976206
894	3.151341602
895	3.148798054
896	3.148390512
897	3.146693888
898	3.145550163
899	3.144133432
900	3.142210215
901	3.140906477
902	3.138333112
903	3.137580271
904	3.13689697
905	3.136297221
906	3.13392607
907	3.133056688
908	3.131104502
909	3.129562702
910	3.12855946
911	3.126486518
912	3.125479302
913	3.124507755
914	3.123832871
915	3.123113677
916	3.122728857
917	3.120339491
918	3.119760764
919	3.119111646
920	3.118514992
921	3.117704473
922	3.116701887
923	3.11424903
924	3.112383236
925	3.111778077
926	3.110797224
927	3.108362686
928	3.10706485
929	3.105889895
930	3.104248859
931	3.102714201
932	3.101672772
933	3.099353644
934	3.0989383
935	3.096356703
936	3.094471835
937	3.093005716
938	3.091797176
939	3.089269152
940	3.088224409
941	3.086866923
942	3.085538967
943	3.082892492
944	3.08148014
945	3.080083034
946	3.078424432
947	3.077668358
948	3.0761768
949	3.073906087
950	3.072578047
951	3.070609179
952	3.070077679
953	3.067841013
954	3.065674626
955	3.06339375
956	3.062752576
957	3.060705358
958	3.058123562
959	3.0572973
960	3.056137655
961	3.054153065
962	3.052242574
963	3.05030021
964	3.049861825
965	3.049015534
966	3.047752072
967	3.045942631
968	3.044677195
969	3.044393239
970	3.042506316
971	3.039995745
972	3.038757027
973	3.038607117
974	3.037406371
975	3.036774924
976	3.035120651
977	3.033685168
978	3.033052349
979	3.031015243
980	3.029712708
981	3.028397628
982	3.026253454
983	3.025685109
984	3.025384573
985	3.024576566
986	3.02335201
987	3.02147987
988	3.020397739
989	3.019710619
990	3.017924815
991	3.016753327
992	3.015021394
993	3.014217349
994	3.013182178
995	3.010174033
996	3.009588729
997	3.007086728
998	3.00650504
999	3.004318449
